Year,DestinationID,FIPS,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90,Age91,Age92,Age93,Age94,Age95,Age96,Age97,Age98,Age99
2040,1,1001,898.8764,945.976625,945.976625,945.976625,945.976625,961.27472,961.27472,961.27472,961.27472,961.27472,975.28774,975.28774,975.28774,975.28774,975.28774,1008.09322,1008.09322,1008.09322,1008.09322,1008.09322,787.6897,787.6897,787.6897,787.6897,787.6897,806.88292,806.88292,806.88292,806.88292,806.88292,938.96754,938.96754,938.96754,938.96754,938.96754,1030.72034,1030.72034,1030.72034,1030.72034,1030.72034,1009.75772,1009.75772,1009.75772,1009.75772,1009.75772,1103.9544,1103.9544,1103.9544,1103.9544,1103.9544,910.39446,910.39446,910.39446,910.39446,910.39446,844.98128,844.98128,844.98128,844.98128,844.98128,814.04332,814.04332,814.04332,814.04332,814.04332,916.28622,916.28622,916.28622,916.28622,916.28622,832.71826,832.71826,832.71826,832.71826,832.71826,790.64832,790.64832,790.64832,790.64832,790.64832,570.37864,570.37864,570.37864,570.37864,570.37864,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733,126.6359733
2040,2,1003,3782.5323,3869.364675,3869.364675,3869.364675,3869.364675,3888.59146,3888.59146,3888.59146,3888.59146,3888.59146,3828.95874,3828.95874,3828.95874,3828.95874,3828.95874,3724.79998,3724.79998,3724.79998,3724.79998,3724.79998,3252.21294,3252.21294,3252.21294,3252.21294,3252.21294,3379.27826,3379.27826,3379.27826,3379.27826,3379.27826,3735.81926,3735.81926,3735.81926,3735.81926,3735.81926,4020.86586,4020.86586,4020.86586,4020.86586,4020.86586,4019.67864,4019.67864,4019.67864,4019.67864,4019.67864,4115.3671,4115.3671,4115.3671,4115.3671,4115.3671,3721.45908,3721.45908,3721.45908,3721.45908,3721.45908,3575.58474,3575.58474,3575.58474,3575.58474,3575.58474,3703.3232,3703.3232,3703.3232,3703.3232,3703.3232,4025.37984,4025.37984,4025.37984,4025.37984,4025.37984,3964.20776,3964.20776,3964.20776,3964.20776,3964.20776,3987.33108,3987.33108,3987.33108,3987.33108,3987.33108,3172.30566,3172.30566,3172.30566,3172.30566,3172.30566,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313,1085.734313
2040,3,1005,227.9656,230.826725,230.826725,230.826725,230.826725,248.36172,248.36172,248.36172,248.36172,248.36172,268.55092,268.55092,268.55092,268.55092,268.55092,271.73694,271.73694,271.73694,271.73694,271.73694,245.48712,245.48712,245.48712,245.48712,245.48712,274.1265,274.1265,274.1265,274.1265,274.1265,307.3638,307.3638,307.3638,307.3638,307.3638,302.5942,302.5942,302.5942,302.5942,302.5942,283.44948,283.44948,283.44948,283.44948,283.44948,418.60382,418.60382,418.60382,418.60382,418.60382,459.4603,459.4603,459.4603,459.4603,459.4603,461.32456,461.32456,461.32456,461.32456,461.32456,389.34658,389.34658,389.34658,389.34658,389.34658,393.68228,393.68228,393.68228,393.68228,393.68228,347.69364,347.69364,347.69364,347.69364,347.69364,314.79302,314.79302,314.79302,314.79302,314.79302,240.3243,240.3243,240.3243,240.3243,240.3243,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333,57.61435333
2040,4,1007,251.1043,241.577175,241.577175,241.577175,241.577175,251.53024,251.53024,251.53024,251.53024,251.53024,252.90966,252.90966,252.90966,252.90966,252.90966,247.43096,247.43096,247.43096,247.43096,247.43096,236.40108,236.40108,236.40108,236.40108,236.40108,278.05132,278.05132,278.05132,278.05132,278.05132,298.10922,298.10922,298.10922,298.10922,298.10922,302.79982,302.79982,302.79982,302.79982,302.79982,331.95562,331.95562,331.95562,331.95562,331.95562,352.16148,352.16148,352.16148,352.16148,352.16148,369.58282,369.58282,369.58282,369.58282,369.58282,360.91874,360.91874,360.91874,360.91874,360.91874,355.16452,355.16452,355.16452,355.16452,355.16452,337.19108,337.19108,337.19108,337.19108,337.19108,314.3343,314.3343,314.3343,314.3343,314.3343,296.69856,296.69856,296.69856,296.69856,296.69856,208.3484,208.3484,208.3484,208.3484,208.3484,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333,39.85205333
2040,5,1009,975.7515,959.04,959.04,959.04,959.04,964.1608,964.1608,964.1608,964.1608,964.1608,943.78366,943.78366,943.78366,943.78366,943.78366,924.92278,924.92278,924.92278,924.92278,924.92278,827.63118,827.63118,827.63118,827.63118,827.63118,924.62554,924.62554,924.62554,924.62554,924.62554,993.15712,993.15712,993.15712,993.15712,993.15712,1036.91166,1036.91166,1036.91166,1036.91166,1036.91166,1015.63246,1015.63246,1015.63246,1015.63246,1015.63246,962.8212,962.8212,962.8212,962.8212,962.8212,816.46298,816.46298,816.46298,816.46298,816.46298,793.3682,793.3682,793.3682,793.3682,793.3682,792.71048,792.71048,792.71048,792.71048,792.71048,828.11568,828.11568,828.11568,828.11568,828.11568,821.73532,821.73532,821.73532,821.73532,821.73532,703.0431,703.0431,703.0431,703.0431,703.0431,518.07456,518.07456,518.07456,518.07456,518.07456,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133,136.7416133
2040,6,1011,109.1408,118.213725,118.213725,118.213725,118.213725,121.85576,121.85576,121.85576,121.85576,121.85576,126.26038,126.26038,126.26038,126.26038,126.26038,128.34602,128.34602,128.34602,128.34602,128.34602,109.70888,109.70888,109.70888,109.70888,109.70888,117.40894,117.40894,117.40894,117.40894,117.40894,120.1368,120.1368,120.1368,120.1368,120.1368,91.4458,91.4458,91.4458,91.4458,91.4458,97.45434,97.45434,97.45434,97.45434,97.45434,138.41392,138.41392,138.41392,138.41392,138.41392,142.47116,142.47116,142.47116,142.47116,142.47116,144.1683,144.1683,144.1683,144.1683,144.1683,109.34922,109.34922,109.34922,109.34922,109.34922,112.065,112.065,112.065,112.065,112.065,99.07512,99.07512,99.07512,99.07512,99.07512,98.95506,98.95506,98.95506,98.95506,98.95506,84.70178,84.70178,84.70178,84.70178,84.70178,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333,19.39099333
2040,7,1013,190.745,198.105425,198.105425,198.105425,198.105425,215.46318,215.46318,215.46318,215.46318,215.46318,230.27586,230.27586,230.27586,230.27586,230.27586,236.47646,236.47646,236.47646,236.47646,236.47646,191.4223,191.4223,191.4223,191.4223,191.4223,189.62626,189.62626,189.62626,189.62626,189.62626,209.66514,209.66514,209.66514,209.66514,209.66514,204.50002,204.50002,204.50002,204.50002,204.50002,216.60346,216.60346,216.60346,216.60346,216.60346,253.11126,253.11126,253.11126,253.11126,253.11126,257.53204,257.53204,257.53204,257.53204,257.53204,246.59472,246.59472,246.59472,246.59472,246.59472,246.91142,246.91142,246.91142,246.91142,246.91142,202.29532,202.29532,202.29532,202.29532,202.29532,202.04886,202.04886,202.04886,202.04886,202.04886,213.19928,213.19928,213.19928,213.19928,213.19928,179.99888,179.99888,179.99888,179.99888,179.99888,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666,52.99666
2040,8,1015,1501.3818,1479.940075,1479.940075,1479.940075,1479.940075,1491.24054,1491.24054,1491.24054,1491.24054,1491.24054,1499.7092,1499.7092,1499.7092,1499.7092,1499.7092,1672.72454,1672.72454,1672.72454,1672.72454,1672.72454,1640.0627,1640.0627,1640.0627,1640.0627,1640.0627,1385.04308,1385.04308,1385.04308,1385.04308,1385.04308,1438.58462,1438.58462,1438.58462,1438.58462,1438.58462,1444.25868,1444.25868,1444.25868,1444.25868,1444.25868,1450.00554,1450.00554,1450.00554,1450.00554,1450.00554,1444.39328,1444.39328,1444.39328,1444.39328,1444.39328,1659.15856,1659.15856,1659.15856,1659.15856,1659.15856,1427.6586,1427.6586,1427.6586,1427.6586,1427.6586,1328.6752,1328.6752,1328.6752,1328.6752,1328.6752,1223.14846,1223.14846,1223.14846,1223.14846,1223.14846,1120.57686,1120.57686,1120.57686,1120.57686,1120.57686,1042.66092,1042.66092,1042.66092,1042.66092,1042.66092,843.681,843.681,843.681,843.681,843.681,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133,222.5425133
2040,9,1017,296.4268,312.773175,312.773175,312.773175,312.773175,338.26458,338.26458,338.26458,338.26458,338.26458,363.36582,363.36582,363.36582,363.36582,363.36582,362.53778,362.53778,362.53778,362.53778,362.53778,314.6308,314.6308,314.6308,314.6308,314.6308,301.97358,301.97358,301.97358,301.97358,301.97358,310.0936,310.0936,310.0936,310.0936,310.0936,297.73246,297.73246,297.73246,297.73246,297.73246,334.66446,334.66446,334.66446,334.66446,334.66446,420.87116,420.87116,420.87116,420.87116,420.87116,467.03796,467.03796,467.03796,467.03796,467.03796,420.27984,420.27984,420.27984,420.27984,420.27984,419.28674,419.28674,419.28674,419.28674,419.28674,434.81692,434.81692,434.81692,434.81692,434.81692,412.26132,412.26132,412.26132,412.26132,412.26132,377.46496,377.46496,377.46496,377.46496,377.46496,301.74532,301.74532,301.74532,301.74532,301.74532,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174,84.75174
2040,10,1019,335.622,329.585625,329.585625,329.585625,329.585625,344.668,344.668,344.668,344.668,344.668,346.04104,346.04104,346.04104,346.04104,346.04104,344.42064,344.42064,344.42064,344.42064,344.42064,306.75688,306.75688,306.75688,306.75688,306.75688,314.56364,314.56364,314.56364,314.56364,314.56364,351.81478,351.81478,351.81478,351.81478,351.81478,389.2469,389.2469,389.2469,389.2469,389.2469,421.94178,421.94178,421.94178,421.94178,421.94178,415.27342,415.27342,415.27342,415.27342,415.27342,382.5368,382.5368,382.5368,382.5368,382.5368,351.59472,351.59472,351.59472,351.59472,351.59472,395.3485,395.3485,395.3485,395.3485,395.3485,473.92194,473.92194,473.92194,473.92194,473.92194,457.7104,457.7104,457.7104,457.7104,457.7104,391.14606,391.14606,391.14606,391.14606,391.14606,347.47828,347.47828,347.47828,347.47828,347.47828,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667,71.33866667
