Year,DestinationID,FIPS,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90,Age91,Age92,Age93,Age94,Age95,Age96,Age97,Age98,Age99,rowid
2030,1014,21109,134.1051,134.229575,134.229575,134.229575,134.229575,141.92692,141.92692,141.92692,141.92692,141.92692,151.84564,151.84564,151.84564,151.84564,151.84564,136.73512,136.73512,136.73512,136.73512,136.73512,130.88548,130.88548,130.88548,130.88548,130.88548,148.3786,148.3786,148.3786,148.3786,148.3786,161.12464,161.12464,161.12464,161.12464,161.12464,181.97128,181.97128,181.97128,181.97128,181.97128,180.3844,180.3844,180.3844,180.3844,180.3844,183.76354,183.76354,183.76354,183.76354,183.76354,206.78312,206.78312,206.78312,206.78312,206.78312,209.3776,209.3776,209.3776,209.3776,209.3776,189.46416,189.46416,189.46416,189.46416,189.46416,190.9743,190.9743,190.9743,190.9743,190.9743,192.51992,192.51992,192.51992,192.51992,192.51992,167.60638,167.60638,167.60638,167.60638,167.60638,109.79616,109.79616,109.79616,109.79616,109.79616,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,13.3344,4129
2030,1015,21111,11172.3396,11355.56808,11355.56808,11355.56808,11355.56808,11552.74998,11552.74998,11552.74998,11552.74998,11552.74998,11534.24728,11534.24728,11534.24728,11534.24728,11534.24728,10011.98888,10011.98888,10011.98888,10011.98888,10011.98888,9302.2511,9302.2511,9302.2511,9302.2511,9302.2511,10327.26356,10327.26356,10327.26356,10327.26356,10327.26356,10410.04356,10410.04356,10410.04356,10410.04356,10410.04356,10908.38254,10908.38254,10908.38254,10908.38254,10908.38254,11295.9335,11295.9335,11295.9335,11295.9335,11295.9335,10407.38344,10407.38344,10407.38344,10407.38344,10407.38344,9131.43928,9131.43928,9131.43928,9131.43928,9131.43928,8217.34264,8217.34264,8217.34264,8217.34264,8217.34264,7639.19486,7639.19486,7639.19486,7639.19486,7639.19486,8116.7554,8116.7554,8116.7554,8116.7554,8116.7554,7688.485,7688.485,7688.485,7688.485,7688.485,6159.95998,6159.95998,6159.95998,6159.95998,6159.95998,4212.52626,4212.52626,4212.52626,4212.52626,4212.52626,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,1212.77442,4159
2030,1016,21113,961.7342,912.679025,912.679025,912.679025,912.679025,909.40914,909.40914,909.40914,909.40914,909.40914,890.55076,890.55076,890.55076,890.55076,890.55076,795.5052,795.5052,795.5052,795.5052,795.5052,885.91038,885.91038,885.91038,885.91038,885.91038,876.783,876.783,876.783,876.783,876.783,900.32962,900.32962,900.32962,900.32962,900.32962,865.1237,865.1237,865.1237,865.1237,865.1237,725.11786,725.11786,725.11786,725.11786,725.11786,716.83434,716.83434,716.83434,716.83434,716.83434,669.25618,669.25618,669.25618,669.25618,669.25618,665.84176,665.84176,665.84176,665.84176,665.84176,666.73716,666.73716,666.73716,666.73716,666.73716,731.16118,731.16118,731.16118,731.16118,731.16118,716.5487,716.5487,716.5487,716.5487,716.5487,515.13474,515.13474,515.13474,515.13474,515.13474,342.55756,342.55756,342.55756,342.55756,342.55756,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,121.66266,4160
2030,1017,21115,255.9399,264.141425,264.141425,264.141425,264.141425,281.46978,281.46978,281.46978,281.46978,281.46978,301.0091,301.0091,301.0091,301.0091,301.0091,309.1284,309.1284,309.1284,309.1284,309.1284,244.46784,244.46784,244.46784,244.46784,244.46784,252.4748,252.4748,252.4748,252.4748,252.4748,270.06108,270.06108,270.06108,270.06108,270.06108,297.07936,297.07936,297.07936,297.07936,297.07936,317.78136,317.78136,317.78136,317.78136,317.78136,298.29186,298.29186,298.29186,298.29186,298.29186,307.48808,307.48808,307.48808,307.48808,307.48808,334.64852,334.64852,334.64852,334.64852,334.64852,341.78956,341.78956,341.78956,341.78956,341.78956,322.19322,322.19322,322.19322,322.19322,322.19322,296.73324,296.73324,296.73324,296.73324,296.73324,243.5402,243.5402,243.5402,243.5402,243.5402,191.46926,191.46926,191.46926,191.46926,191.46926,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,32.63707333,4130
2030,1018,21117,2629.5916,2580.37005,2580.37005,2580.37005,2580.37005,2612.00626,2612.00626,2612.00626,2612.00626,2612.00626,2572.59346,2572.59346,2572.59346,2572.59346,2572.59346,2210.00016,2210.00016,2210.00016,2210.00016,2210.00016,2152.99592,2152.99592,2152.99592,2152.99592,2152.99592,2359.10316,2359.10316,2359.10316,2359.10316,2359.10316,2288.25884,2288.25884,2288.25884,2288.25884,2288.25884,2277.95836,2277.95836,2277.95836,2277.95836,2277.95836,2435.62946,2435.62946,2435.62946,2435.62946,2435.62946,2335.92324,2335.92324,2335.92324,2335.92324,2335.92324,2092.39092,2092.39092,2092.39092,2092.39092,2092.39092,1760.17822,1760.17822,1760.17822,1760.17822,1760.17822,1789.75734,1789.75734,1789.75734,1789.75734,1789.75734,1819.59008,1819.59008,1819.59008,1819.59008,1819.59008,1662.68032,1662.68032,1662.68032,1662.68032,1662.68032,1243.42182,1243.42182,1243.42182,1243.42182,1243.42182,837.43208,837.43208,837.43208,837.43208,837.43208,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,190.44088,4161
2030,1019,21119,175.5259,179.43945,179.43945,179.43945,179.43945,194.59536,194.59536,194.59536,194.59536,194.59536,208.26292,208.26292,208.26292,208.26292,208.26292,190.2887,190.2887,190.2887,190.2887,190.2887,169.7078,169.7078,169.7078,169.7078,169.7078,139.28934,139.28934,139.28934,139.28934,139.28934,136.54598,136.54598,136.54598,136.54598,136.54598,216.86168,216.86168,216.86168,216.86168,216.86168,169.10054,169.10054,169.10054,169.10054,169.10054,184.8398,184.8398,184.8398,184.8398,184.8398,191.20782,191.20782,191.20782,191.20782,191.20782,218.47532,218.47532,218.47532,218.47532,218.47532,234.30488,234.30488,234.30488,234.30488,234.30488,242.55878,242.55878,242.55878,242.55878,242.55878,242.55368,242.55368,242.55368,242.55368,242.55368,193.03538,193.03538,193.03538,193.03538,193.03538,137.74346,137.74346,137.74346,137.74346,137.74346,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,17.97636,4131
2030,1020,21121,481.7904,470.5461,470.5461,470.5461,470.5461,485.54266,485.54266,485.54266,485.54266,485.54266,510.77628,510.77628,510.77628,510.77628,510.77628,462.3718,462.3718,462.3718,462.3718,462.3718,406.3103,406.3103,406.3103,406.3103,406.3103,377.1969,377.1969,377.1969,377.1969,377.1969,397.15148,397.15148,397.15148,397.15148,397.15148,457.07802,457.07802,457.07802,457.07802,457.07802,460.9501,460.9501,460.9501,460.9501,460.9501,397.55002,397.55002,397.55002,397.55002,397.55002,406.00058,406.00058,406.00058,406.00058,406.00058,437.90482,437.90482,437.90482,437.90482,437.90482,429.98112,429.98112,429.98112,429.98112,429.98112,449.13296,449.13296,449.13296,449.13296,449.13296,373.54716,373.54716,373.54716,373.54716,373.54716,296.50866,296.50866,296.50866,296.50866,296.50866,216.11582,216.11582,216.11582,216.11582,216.11582,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,31.80082,4132
2030,1021,21123,180.8043,185.9388,185.9388,185.9388,185.9388,190.12814,190.12814,190.12814,190.12814,190.12814,187.76884,187.76884,187.76884,187.76884,187.76884,156.98604,156.98604,156.98604,156.98604,156.98604,161.14,161.14,161.14,161.14,161.14,193.80356,193.80356,193.80356,193.80356,193.80356,205.24378,205.24378,205.24378,205.24378,205.24378,187.7781,187.7781,187.7781,187.7781,187.7781,187.79242,187.79242,187.79242,187.79242,187.79242,199.51998,199.51998,199.51998,199.51998,199.51998,186.53328,186.53328,186.53328,186.53328,186.53328,178.16044,178.16044,178.16044,178.16044,178.16044,188.00226,188.00226,188.00226,188.00226,188.00226,209.60832,209.60832,209.60832,209.60832,209.60832,182.63742,182.63742,182.63742,182.63742,182.63742,161.98826,161.98826,161.98826,161.98826,161.98826,115.084,115.084,115.084,115.084,115.084,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,27.22867333,4133
2030,1022,21125,991.2478,1009.852075,1009.852075,1009.852075,1009.852075,1042.1482,1042.1482,1042.1482,1042.1482,1042.1482,1056.28612,1056.28612,1056.28612,1056.28612,1056.28612,825.9071,825.9071,825.9071,825.9071,825.9071,843.21262,843.21262,843.21262,843.21262,843.21262,983.43938,983.43938,983.43938,983.43938,983.43938,976.01354,976.01354,976.01354,976.01354,976.01354,986.36378,986.36378,986.36378,986.36378,986.36378,975.44362,975.44362,975.44362,975.44362,975.44362,926.98118,926.98118,926.98118,926.98118,926.98118,924.39884,924.39884,924.39884,924.39884,924.39884,889.7554,889.7554,889.7554,889.7554,889.7554,895.42166,895.42166,895.42166,895.42166,895.42166,931.5195,931.5195,931.5195,931.5195,931.5195,845.26992,845.26992,845.26992,845.26992,845.26992,599.35602,599.35602,599.35602,599.35602,599.35602,405.90178,405.90178,405.90178,405.90178,405.90178,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,62.53710667,4134
2030,1023,21127,189.876,198.21815,198.21815,198.21815,198.21815,208.42956,208.42956,208.42956,208.42956,208.42956,218.52766,218.52766,218.52766,218.52766,218.52766,182.5468,182.5468,182.5468,182.5468,182.5468,170.03794,170.03794,170.03794,170.03794,170.03794,164.27976,164.27976,164.27976,164.27976,164.27976,153.3821,153.3821,153.3821,153.3821,153.3821,193.23418,193.23418,193.23418,193.23418,193.23418,182.50646,182.50646,182.50646,182.50646,182.50646,191.4865,191.4865,191.4865,191.4865,191.4865,208.5688,208.5688,208.5688,208.5688,208.5688,203.9904,203.9904,203.9904,203.9904,203.9904,210.6869,210.6869,210.6869,210.6869,210.6869,222.12524,222.12524,222.12524,222.12524,222.12524,199.6351,199.6351,199.6351,199.6351,199.6351,180.12696,180.12696,180.12696,180.12696,180.12696,127.29766,127.29766,127.29766,127.29766,127.29766,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,16.50251333,4187
2030,1024,21129,70.2862,71.982,71.982,71.982,71.982,73.82402,73.82402,73.82402,73.82402,73.82402,76.696,76.696,76.696,76.696,76.696,73.93652,73.93652,73.93652,73.93652,73.93652,88.76026,88.76026,88.76026,88.76026,88.76026,89.2654,89.2654,89.2654,89.2654,89.2654,104.0401,104.0401,104.0401,104.0401,104.0401,103.41676,103.41676,103.41676,103.41676,103.41676,139.13118,139.13118,139.13118,139.13118,139.13118,120.20306,120.20306,120.20306,120.20306,120.20306,98.6868,98.6868,98.6868,98.6868,98.6868,93.8936,93.8936,93.8936,93.8936,93.8936,112.47044,112.47044,112.47044,112.47044,112.47044,111.84344,111.84344,111.84344,111.84344,111.84344,97.82748,97.82748,97.82748,97.82748,97.82748,88.7987,88.7987,88.7987,88.7987,88.7987,63.82612,63.82612,63.82612,63.82612,63.82612,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,5.335553333,4171
2030,1025,21131,113.573,117.305475,117.305475,117.305475,117.305475,125.24442,125.24442,125.24442,125.24442,125.24442,136.8006,136.8006,136.8006,136.8006,136.8006,122.3526,122.3526,122.3526,122.3526,122.3526,106.27958,106.27958,106.27958,106.27958,106.27958,97.18218,97.18218,97.18218,97.18218,97.18218,97.68618,97.68618,97.68618,97.68618,97.68618,121.65716,121.65716,121.65716,121.65716,121.65716,154.30614,154.30614,154.30614,154.30614,154.30614,139.88548,139.88548,139.88548,139.88548,139.88548,154.05736,154.05736,154.05736,154.05736,154.05736,156.50388,156.50388,156.50388,156.50388,156.50388,148.27288,148.27288,148.27288,148.27288,148.27288,167.43738,167.43738,167.43738,167.43738,167.43738,164.48896,164.48896,164.48896,164.48896,164.48896,126.2701,126.2701,126.2701,126.2701,126.2701,94.0907,94.0907,94.0907,94.0907,94.0907,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,15.37493333,4135
2030,1026,21133,249.1918,276.208225,276.208225,276.208225,276.208225,303.87978,303.87978,303.87978,303.87978,303.87978,332.56248,332.56248,332.56248,332.56248,332.56248,273.18928,273.18928,273.18928,273.18928,273.18928,237.70922,237.70922,237.70922,237.70922,237.70922,216.25038,216.25038,216.25038,216.25038,216.25038,218.88494,218.88494,218.88494,218.88494,218.88494,259.02924,259.02924,259.02924,259.02924,259.02924,289.22086,289.22086,289.22086,289.22086,289.22086,308.29382,308.29382,308.29382,308.29382,308.29382,323.52562,323.52562,323.52562,323.52562,323.52562,303.25568,303.25568,303.25568,303.25568,303.25568,301.9651,301.9651,301.9651,301.9651,301.9651,324.70542,324.70542,324.70542,324.70542,324.70542,285.69618,285.69618,285.69618,285.69618,285.69618,230.03038,230.03038,230.03038,230.03038,230.03038,168.11474,168.11474,168.11474,168.11474,168.11474,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,25.20225333,4136
